total addresses 2024-03-21 16:38:35.023929 +0700 +07 m=+1.109848876 : 1
total addresses 2024-03-21 16:43:32.240734 +0700 +07 m=+244.458682710 : 8663
total addresses 2024-03-21 16:55:51.153922 +0700 +07 m=+721.185452126 : 118793
total addresses 2024-03-21 16:59:18.48238 +0700 +07 m=+12.232946543 : 1827
total check at 2024-03-21 16:59:34.939333 +0700 +07 m=+6.176587834 : 6870
total check at 2024-03-21 17:01:51.993431 +0700 +07 m=+117.039751543 : 37012
total check at 2024-03-21 17:14:35.642979 +0700 +07 m=+607.113256751 : 135109
total check at 2024-03-21 17:17:37.74627 +0700 +07 m=+70.438503793 : 16100
total addresses check at 2024-03-21 17:35:24.30856 +0700 +07 m=+1023.958848209 : 198959
total check at 2024-03-21 17:48:12.209619 +0700 +07 m=+548.167298876 : 110918
total addresses check at 2024-03-21 17:52:28.073289 +0700 +07 m=+189.543076543 : 38565
total addresses check at 2024-03-21 17:58:46.342965 +0700 +07 m=+139.305207210 : 27763
total addresses check at 2024-03-21 18:00:27.14368 +0700 +07 m=+55.941608085 : 11286
total addresses check at 2024-03-21 18:07:05.1665 +0700 +07 m=+12.163482418 : 2293
total addresses check at 2024-03-21 18:19:35.635565 +0700 +07 m=+7.026425626 : 1088
total addresses check at 2024-03-21 18:24:54.458488 +0700 +07 m=+1.050338168 : 1
total addresses check at 2024-03-21 11:52:24.470440009 +0000 UTC m=+191.285197785 : 100000
total addresses check at 2024-03-21 11:56:58.060413693 +0000 UTC m=+50.577785513 : 27957
total addresses check at 2024-03-21 12:26:29.601934573 +0000 UTC m=+174.858516180 : 100000
total addresses check at 2024-03-21 12:52:03.416811852 +0000 UTC m=+211.421041108 : 100000
total addresses check at 2024-03-21 13:01:41.209945267 +0000 UTC m=+44.138484245 : 25552
total addresses check at 2024-03-21 13:13:09.786111697 +0000 UTC m=+52.327309138 : 26426
total addresses check at 2024-03-21 13:23:25.594618609 +0000 UTC m=+63.036677318 : 36413
total addresses check at 2024-03-21 13:39:18.951409583 +0000 UTC m=+189.980733668 : 100000
total addresses check at 2024-03-21 13:41:26.053494436 +0000 UTC m=+55.705224077 : 29796
total addresses check at 2024-03-21 13:46:31.275491252 +0000 UTC m=+52.467626790 : 36181
total addresses check at 2024-03-21 13:56:14.77059796 +0000 UTC m=+57.814847778 : 35715
total addresses check at 2024-03-21 14:12:58.230877341 +0000 UTC m=+54.913598357 : 32951
total addresses check at 2024-03-21 14:29:05.385925449 +0000 UTC m=+56.638937831 : 34960
total addresses check at 2024-03-21 14:38:40.557765732 +0000 UTC m=+54.420257188 : 35014
total addresses check at 2024-03-21 14:48:44.719651378 +0000 UTC m=+60.343477079 : 37472
total addresses check at 2024-03-21 15:01:43.867337733 +0000 UTC m=+228.027150071 : 100000
total addresses check at 2024-03-21 15:20:50.366169552 +0000 UTC m=+173.260232495 : 100007
total addresses check at 2024-03-21 15:28:32.139609566 +0000 UTC m=+55.575437423 : 36270
total addresses check at 2024-03-21 15:43:41.108001031 +0000 UTC m=+278.216043403 : 100000
total addresses check at 2024-03-21 15:49:48.585501551 +0000 UTC m=+51.733891090 : 33199
total addresses check at 2024-03-21 16:00:03.822025378 +0000 UTC m=+63.523286632 : 37057
total addresses check at 2024-03-21 16:25:50.972488881 +0000 UTC m=+52.179656512 : 34640
total addresses check at 2024-03-21 16:42:50.130723344 +0000 UTC m=+184.317892841 : 100000
total addresses check at 2024-03-21 16:53:22.35160215 +0000 UTC m=+214.995151451 : 100000
